order_id,user_id,product_name,quantity,unit_price,total_amount,currency,status,payment_method,ip_address,user_agent,created_at,updated_at
ORDE9832FF2,146261,Multi-channeled clear-thinking moratorium,1,64.47,1901.87,CNY,shipped,alipay,207.249.62.168,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/53.0.836.0 Mobile/89C457 Safari/534.1",2026-01-12T18:11:05,2026-01-31T05:23:34
ORD477A1896,632509,Phased full-range challenge,7,22.38,1645.93,CNY,shipped,alipay,221.216.93.65,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0),2026-01-12T13:39:39,2026-02-02T16:40:45
ORD220F1EFD,137383,Horizontal leadingedge artificial intelligence,2,952.91,1142.9,CNY,shipped,debit_card,115.94.49.26,"Mozilla/5.0 (Linux; Android 1.0) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/61.0.857.0 Safari/534.1",2026-01-25T06:14:35,2026-01-29T14:33:10
ORD3A03B0AB,914818,Cloned regional time-frame,9,617.44,3048.59,CNY,delivered,alipay,44.109.237.124,"Mozilla/5.0 (Linux; Android 2.3.4) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/23.0.839.0 Safari/536.0",2026-01-19T11:18:31,2026-02-03T22:46:07
ORDB452FC19,727487,Synergistic intermediate challenge,4,605.0,3374.28,CNY,shipped,wechat,152.75.153.218,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/5.1),2026-01-07T13:55:53,2026-01-31T00:55:16
ORD6D045ACF,143119,Visionary leadingedge groupware,5,68.28,4330.32,CNY,cancelled,credit_card,91.52.171.15,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ru-UA) AppleWebKit/531.48.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.48.2",2026-02-03T11:11:31,2026-01-30T00:34:50
ORDCBD9A461,146645,Multi-tiered real-time parallelism,7,603.85,3668.48,CNY,shipped,alipay,91.4.248.96,Mozilla/5.0 (Windows NT 6.0; ks-IN; rv:1.9.0.20) Gecko/4381-09-29 17:15:13 Firefox/3.6.17,2026-01-13T05:09:06,2026-01-29T10:44:18
ORD7E123614,249166,Diverse full-range neural-net,5,667.83,1772.8,CNY,shipped,alipay,88.234.48.206,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/5.1),2026-01-18T22:28:26,2026-02-03T20:35:50
ORD58EBC85D,856781,Compatible homogeneous Local Area Network,8,58.04,2954.57,CNY,delivered,alipay,210.238.91.74,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_7 rv:2.0; mt-MT) AppleWebKit/532.20.3 (KHTML, like Gecko) Version/4.1 Safari/532.20.3",2026-01-24T19:00:55,2026-02-02T22:09:57
ORD5EF55A9C,632937,Persistent human-resource groupware,5,81.98,1422.85,CNY,shipped,alipay,140.83.146.123,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.15.6 (KHTML, like Gecko) Version/4.0 Safari/532.15.6",2026-01-09T07:18:33,2026-01-29T18:40:40
ORD9004F525,509159,Polarized incremental firmware,1,563.84,4321.19,CNY,pending,credit_card,91.166.4.104,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) CriOS/13.0.800.0 Mobile/94V328 Safari/536.2",2026-01-13T17:10:26,2026-02-02T04:43:06
