order_id,user_id,product_name,quantity,unit_price,total_amount,currency,status,payment_method,ip_address,user_agent,created_at,updated_at
ORDC71F6DA8,369380,Reactive bandwidth-monitored product,6,779.78,402.83,CNY,shipped,credit_card,131.222.151.104,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; nn-NO) AppleWebKit/535.6.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.6.1",2026-02-02T10:36:06,2026-02-06T09:02:40
ORD11CDA80B,882542,Persevering 24hour algorithm,2,751.48,2103.17,CNY,pending,credit_card,21.47.101.23,Opera/8.22.(X11; Linux i686; si-LK) Presto/2.9.166 Version/12.00,2026-01-12T02:12:09,2026-01-31T16:39:30
ORD179210D9,673872,Operative intermediate forecast,10,200.31,1339.87,CNY,shipped,credit_card,26.100.115.240,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_4 like Mac OS X) AppleWebKit/534.0 (KHTML, like Gecko) FxiOS/11.2p8755.0 Mobile/61L101 Safari/534.0",2026-01-22T23:58:23,2026-02-01T01:56:43
ORD4FD4D1A1,996188,Managed zero tolerance array,2,730.47,1748.01,CNY,shipped,alipay,196.232.252.61,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5; rv:1.9.3.20) Gecko/4842-09-05 02:27:49 Firefox/3.8,2026-02-04T06:30:30,2026-02-05T04:29:03
ORD4576AA17,833130,Decentralized demand-driven collaboration,2,368.18,441.83,CNY,paid,alipay,120.159.132.244,"Mozilla/5.0 (iPad; CPU iPad OS 2_2_1 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/25.0.894.0 Mobile/32K173 Safari/531.1",2026-01-11T02:00:10,2026-02-02T21:52:44
ORD8384D12B,572933,Synergistic next generation application,10,137.72,656.93,CNY,shipped,credit_card,211.193.84.44,Opera/9.65.(Windows NT 5.01; th-TH) Presto/2.9.164 Version/10.00,2026-01-23T10:22:13,2026-02-01T05:22:51
ORDB1EDC1DA,530218,Visionary grid-enabled projection,1,678.06,4408.41,CNY,paid,alipay,167.155.251.129,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/56.0.889.0 Safari/535.0",2026-01-24T21:10:55,2026-02-04T03:07:58
ORD6517862E,961282,Synergized motivating database,10,419.39,1980.58,CNY,delivered,wechat,151.102.2.134,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/61.0.832.0 Safari/532.1",2026-02-02T09:06:25,2026-02-04T12:42:07
ORDBFEE3A98,380398,Multi-tiered tangible database,2,935.02,1116.74,CNY,paid,wechat,128.225.226.149,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_5; rv:1.9.6.20) Gecko/3909-08-07 06:38:31 Firefox/13.0,2026-01-10T14:47:36,2026-02-06T20:42:36
ORD29717A72,977858,Optional web-enabled benchmark,6,885.92,2612.41,CNY,shipped,alipay,94.36.207.0,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; nan-TW) AppleWebKit/531.43.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6531.43.7",2026-01-31T06:12:32,2026-02-06T14:01:39
ORD8F0881CC,507750,Organized systematic challenge,8,574.09,2162.49,CNY,paid,credit_card,188.66.245.191,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2721-12-26 12:38:27 Firefox/3.6.12,2026-01-31T21:27:26,2026-02-01T06:50:13
ORDE0DE5687,664612,Programmable zero-defect hierarchy,4,360.11,383.79,CNY,paid,alipay,81.81.128.59,Opera/9.14.(Windows NT 5.0; zu-ZA) Presto/2.9.163 Version/10.00,2026-01-15T11:46:40,2026-02-01T01:24:57
ORD20F609E8,922688,Horizontal analyzing support,2,766.44,1462.49,CNY,shipped,alipay,67.164.156.148,"Mozilla/5.0 (Windows 98) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/63.0.836.0 Safari/534.1",2026-01-26T08:57:43,2026-02-02T18:23:01
ORDA08EFFD8,364173,Inverse incremental neural-net,6,666.46,976.06,CNY,paid,debit_card,90.58.236.92,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.7.3 (KHTML, like Gecko) Version/5.0 Safari/534.7.3",2026-01-17T07:16:43,2026-02-06T08:00:31
ORD27F48356,782598,Upgradable foreground software,10,601.35,1980.5,CNY,delivered,debit_card,52.132.174.144,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/48.0.872.0 Safari/531.1",2026-01-19T05:42:36,2026-02-02T17:11:12
ORD0B687E9F,199335,Fundamental context-sensitive standardization,1,168.46,4485.15,CNY,shipped,wechat,77.61.21.101,Opera/9.29.(X11; Linux x86_64; gd-GB) Presto/2.9.176 Version/10.00,2026-01-26T11:39:46,2026-02-05T14:01:47
ORD187D327E,213636,Digitized dynamic focus group,7,75.47,4232.43,CNY,paid,alipay,79.252.183.15,Opera/8.17.(X11; Linux i686; nb-NO) Presto/2.9.162 Version/12.00,2026-02-01T12:26:12,2026-02-02T11:55:41
ORD85C846E3,522371,Compatible non-volatile superstructure,7,42.15,3271.54,CNY,cancelled,alipay,14.1.60.123,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) FxiOS/10.3p3911.0 Mobile/10O432 Safari/532.0",2026-01-16T04:39:00,2026-02-06T01:31:40
ORD7426E1D0,101919,Robust full-range encoding,1,134.9,3474.06,CNY,shipped,alipay,76.85.9.141,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/14.6z2046.0 Mobile/25J494 Safari/533.2",2026-02-05T10:40:20,2026-02-05T19:15:47
ORDBD36776F,195769,Robust logistical complexity,2,863.66,4690.85,CNY,paid,alipay,82.178.3.102,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/4.0.2 Safari/533.15.7",2026-01-20T21:01:19,2026-01-30T23:23:31
ORD1E0A5CAE,920589,Enhanced human-resource leverage,9,446.28,4079.44,CNY,paid,alipay,80.196.7.143,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/62.0.823.0 Safari/532.2",2026-01-12T18:20:57,2026-02-02T23:39:10
ORD05B9BBB7,347676,Total grid-enabled artificial intelligence,10,447.87,4754.47,CNY,shipped,wechat,36.110.30.164,Mozilla/5.0 (Windows NT 6.1; wa-BE; rv:1.9.2.20) Gecko/6041-03-22 08:34:43 Firefox/7.0,2026-01-24T23:48:50,2026-02-05T23:04:12
ORD66C216B4,385862,Secured zero-defect initiative,9,383.04,3151.18,CNY,paid,alipay,196.221.241.37,Opera/9.10.(Windows NT 4.0; ckb-IQ) Presto/2.9.185 Version/10.00,2026-02-06T21:07:28,2026-02-06T15:24:02
ORDA8D2581C,151645,Digitized real-time projection,3,817.57,83.87,CNY,delivered,wechat,110.247.69.34,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/3.1),2026-01-10T20:48:41,2026-02-01T23:59:33
ORD6480A3FD,919744,Persevering grid-enabled secured line,8,142.91,4713.28,CNY,paid,wechat,81.254.43.182,Mozilla/5.0 (Android 4.3.1; Mobile; rv:56.0) Gecko/56.0 Firefox/56.0,2026-01-20T06:48:58,2026-02-04T01:08:57
ORD56A0AD69,154395,Centralized bottom-line projection,6,761.46,4078.32,CNY,paid,wechat,179.0.42.148,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; gv-GB) AppleWebKit/535.47.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6535.47.1",2026-02-01T09:48:19,2026-02-03T08:04:53
ORD7830598E,307462,Fundamental reciprocal approach,8,357.27,4672.39,CNY,cancelled,wechat,20.210.76.102,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/3.0),2026-01-15T08:16:12,2026-02-03T20:17:36
ORD89181143,895924,Versatile upward-trending customer loyalty,6,492.63,3611.71,CNY,delivered,alipay,1.11.120.92,Opera/9.17.(Windows NT 6.2; mhr-RU) Presto/2.9.181 Version/12.00,2026-01-10T13:44:14,2026-02-05T13:05:53
ORD9245AE58,415722,Vision-oriented multi-tasking data-warehouse,9,776.97,1739.66,CNY,paid,wechat,168.251.22.139,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; lij-IT) AppleWebKit/533.33.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6533.33.7",2026-01-09T08:36:37,2026-02-05T16:27:42
ORDBF6141CA,606438,Upgradable even-keeled emulation,6,333.17,868.74,CNY,delivered,alipay,151.82.244.154,Opera/8.80.(Windows NT 6.0; os-RU) Presto/2.9.174 Version/12.00,2026-02-02T08:44:15,2026-02-03T05:36:37
ORD1271FAF2,408177,Optimized scalable parallelism,4,387.07,2767.97,CNY,paid,wechat,202.48.192.111,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/4.1),2026-01-15T20:28:29,2026-02-04T03:42:30
ORD67FF840F,892398,Polarized demand-driven structure,1,912.68,2360.16,CNY,paid,wechat,52.22.51.58,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/19.0.869.0 Safari/533.1",2026-01-26T23:43:57,2026-02-05T07:27:29
ORDBEEC8B5E,418214,Stand-alone didactic adapter,7,81.24,3709.08,CNY,shipped,wechat,2.112.208.233,Opera/8.69.(X11; Linux i686; fr-CA) Presto/2.9.179 Version/11.00,2026-02-06T12:12:17,2026-02-02T04:39:01
ORD46A276A7,974777,Ameliorated scalable utilization,5,427.28,152.23,CNY,paid,alipay,122.240.233.163,Opera/8.26.(X11; Linux i686; ks-IN) Presto/2.9.176 Version/11.00,2026-01-23T17:53:26,2026-02-02T01:57:32
ORD1E94BDD1,195261,Re-contextualized demand-driven budgetary management,1,343.55,2026.93,CNY,delivered,alipay,63.252.239.213,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/3.0),2026-01-29T06:42:37,2026-02-04T02:08:29
ORD6ECD698F,477113,Customizable logistical framework,8,754.89,3076.74,CNY,paid,alipay,97.23.7.238,Opera/9.59.(X11; Linux x86_64; zh-CN) Presto/2.9.167 Version/10.00,2026-01-25T14:57:03,2026-02-05T11:38:53
ORDE735B596,536681,Configurable leadingedge orchestration,2,988.41,690.81,CNY,paid,credit_card,189.196.133.35,Mozilla/5.0 (Windows CE; tig-ER; rv:1.9.1.20) Gecko/3479-03-30 21:25:40 Firefox/3.8,2026-01-22T13:43:36,2026-02-06T08:36:22
ORD725242C6,522706,Configurable multi-state model,2,589.32,4484.84,CNY,paid,alipay,190.43.157.61,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; so-DJ) AppleWebKit/534.5.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6534.5.7",2026-01-13T06:53:05,2026-02-05T00:43:21
ORD91B2A00B,680061,Profound value-added knowledgebase,9,261.86,3715.17,CNY,paid,alipay,133.212.77.192,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_8; rv:1.9.3.20) Gecko/9184-01-15 16:57:10 Firefox/12.0,2026-01-23T22:06:23,2026-02-06T05:20:21
ORD74B4ACFF,527811,Self-enabling multi-tasking Graphical User Interface,3,759.07,3469.27,CNY,cancelled,debit_card,161.200.128.41,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/532.23.1 (KHTML, like Gecko) Version/4.0 Safari/532.23.1",2026-01-25T12:16:01,2026-02-04T19:08:25
ORDAEF48969,689078,Enterprise-wide optimizing contingency,8,521.37,436.72,CNY,paid,wechat,32.226.127.157,Opera/9.68.(X11; Linux i686; gv-GB) Presto/2.9.189 Version/11.00,2026-01-20T21:21:55,2026-02-04T20:02:22
ORD75147BD7,908197,Front-line solution-oriented conglomeration,4,19.97,3650.01,CNY,shipped,wechat,222.110.70.140,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.1),2026-01-28T17:13:04,2026-02-04T18:27:44
ORD49A24890,890911,Grass-roots system-worthy firmware,4,74.64,1637.27,CNY,paid,alipay,2.45.233.156,Opera/9.86.(X11; Linux i686; tig-ER) Presto/2.9.160 Version/12.00,2026-01-20T16:50:39,2026-02-02T21:05:10
ORD4B103FBE,775538,Profound solution-oriented secured line,7,141.34,4792.02,CNY,shipped,alipay,145.149.97.49,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ga-IE) AppleWebKit/532.40.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.40.3",2026-01-21T00:48:58,2026-02-03T11:48:01
ORDE027D45D,183293,Decentralized background data-warehouse,10,773.67,497.64,CNY,paid,wechat,105.63.16.115,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.1),2026-01-10T13:10:33,2026-02-01T06:26:05
ORD542ABDB2,748290,Automated explicit pricing structure,6,151.22,2854.9,CNY,paid,alipay,115.117.20.107,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 11.0; Trident/3.1),2026-02-01T23:45:46,2026-02-06T06:38:24
ORDBE825283,517763,Open-source motivating concept,2,892.0,3710.63,CNY,paid,alipay,177.103.190.137,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5; rv:1.9.5.20) Gecko/2905-12-14 20:17:51 Firefox/14.0,2026-01-08T12:01:39,2026-02-05T17:40:25
ORD229D6885,307170,Mandatory disintermediate monitoring,3,260.07,1880.93,CNY,shipped,wechat,196.98.64.217,Mozilla/5.0 (Android 5.0.1; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0,2026-02-02T07:07:44,2026-02-01T04:00:41
ORDABB86560,725478,Re-engineered bifurcated hardware,5,320.5,2633.87,CNY,shipped,credit_card,54.190.18.180,Opera/8.21.(X11; Linux i686; lo-LA) Presto/2.9.161 Version/12.00,2026-01-14T01:30:48,2026-02-01T23:26:42
ORDD8A9D0CE,369432,Optimized hybrid help-desk,8,688.14,1855.96,CNY,delivered,alipay,132.57.98.234,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/16.2o4194.0 Mobile/09H575 Safari/531.2",2026-01-28T20:00:02,2026-02-01T04:02:00
ORD45F756E5,904328,Balanced encompassing open architecture,4,832.08,2413.31,CNY,shipped,alipay,142.35.189.15,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3; rv:1.9.2.20) Gecko/9681-12-08 02:09:56 Firefox/3.8,2026-01-30T18:33:08,2026-02-04T11:04:43
